model_component,feature,importance_pct,feature_group
allocate_flm_regressor,hash__Dc Avail Bucket__5,0.2638879120349884,Dc Avail Bucket category signal
allocate_flm_regressor,hash__Line Name__59,0.2638542950153351,Line Name category signal
allocate_flm_regressor,hash__Site__60,0.26383233070373535,Site category signal
allocate_flm_regressor,hash__Site__25,0.26382118463516235,Site category signal
allocate_flm_regressor,hash__Class Name__90,0.26381537318229675,Class Name category signal
allocate_flm_regressor,hash__Class Name__36,0.2637538015842438,Class Name category signal
allocate_flm_regressor,hash__Line Name__23,0.26365673542022705,Line Name category signal
allocate_flm_regressor,LW,0.26356881856918335,LW
allocate_flm_regressor,hash__Class Name__24,0.26349425315856934,Class Name category signal
allocate_flm_regressor,hash__Line Name__47,0.2633482813835144,Line Name category signal
allocate_flm_regressor,dc_flms,0.2633058428764343,dc_flms
allocate_flm_regressor,D30,0.26326799392700195,D30
allocate_flm_regressor,hash__Site__19,0.2631273865699768,Site category signal
allocate_flm_regressor,hash__Site__18,0.2630370259284973,Site category signal
allocate_flm_regressor,hash__Class Name__6,0.2629825472831726,Class Name category signal
allocate_flm_regressor,hash__Line Name__122,0.2628263533115387,Line Name category signal
allocate_flm_regressor,Supply,0.26278841495513916,Supply
allocate_flm_regressor,hash__Line Name__114,0.2626963257789612,Line Name category signal
allocate_flm_regressor,hash__Line Name__14,0.26261579990386963,Line Name category signal
allocate_flm_regressor,hash__Class Name__63,0.2624606788158417,Class Name category signal
allocate_flm_regressor,Proj. Demand,0.2623984217643738,Proj. Demand
allocate_flm_regressor,hash__Line Name__84,0.2623897194862366,Line Name category signal
allocate_flm_regressor,hash__Class Name__76,0.26237401366233826,Class Name category signal
allocate_flm_regressor,hash__Site__58,0.2623717188835144,Site category signal
allocate_flm_regressor,hash__Line Name__107,0.2623685896396637,Line Name category signal
allocate_flm_regressor,hash__Line Name__116,0.26231178641319275,Line Name category signal
allocate_flm_regressor,hash__Class Name__92,0.2622806131839752,Class Name category signal
allocate_flm_regressor,hash__Class Name__2,0.26221051812171936,Class Name category signal
allocate_flm_regressor,hash__Line Name__110,0.2621924877166748,Line Name category signal
allocate_flm_regressor,lw_month_to_l30,0.2619558870792389,lw_month_to_l30
allocate_flm_regressor,hash__Flag__1,0.2619051933288574,Flag category signal
allocate_flm_regressor,hash__Site__42,0.2619021236896515,Site category signal
allocate_flm_regressor,d60_gap,0.261820524930954,d60_gap
allocate_flm_regressor,hash__Line Name__55,0.2618166506290436,Line Name category signal
allocate_flm_regressor,hash__Line Name__90,0.2617828845977783,Line Name category signal
allocate_flm_regressor,hash__Line Name__72,0.26175373792648315,Line Name category signal
allocate_flm_regressor,hash__Site__51,0.26174065470695496,Site category signal
allocate_flm_regressor,l30_to_d30,0.26172858476638794,l30_to_d30
allocate_flm_regressor,hash__Class Name__16,0.261704683303833,Class Name category signal
allocate_flm_regressor,hash__Class Name__80,0.26168933510780334,Class Name category signal
allocate_flm_regressor,hash__Class Name__84,0.26167264580726624,Class Name category signal
allocate_flm_regressor,hash__Class Name__26,0.2616320848464966,Class Name category signal
allocate_flm_regressor,hash__Site__62,0.26159942150115967,Site category signal
